,oid,category
0,749208109,esport
1,452466036,volleyball
2,161038103,tennis
3,663621910,esport
4,566255305,tennis
5,332983824,volleyball
6,306441436,extreme
7,770457906,volleyball
8,720955404,boardgames
9,950885012,extreme
10,623907520,athletics
11,357676832,esport
12,463889624,boardgames
13,769116238,martial_arts
14,902512702,winter_sport
15,573984210,hockey
16,867549202,boardgames
17,469446016,football
18,517149005,basketball
19,631811222,tennis
20,289454822,volleyball
21,633244217,hockey
22,54310919,volleyball
23,731046922,athletics
24,759095431,autosport
25,23592715,extreme
26,568705033,hockey
27,746261621,boardgames
28,223960908,hockey
29,343811314,esport
30,39021409,motosport
31,433430409,winter_sport
32,191288802,basketball
33,773806324,winter_sport
34,42587423,autosport
35,909050028,volleyball
36,381764623,motosport
37,896686111,athletics
38,759592926,winter_sport
39,475206109,volleyball
40,123458214,winter_sport
41,733364110,autosport
42,571093038,winter_sport
43,86508807,tennis
44,982942625,extreme
45,150043234,motosport
46,194604309,basketball
47,142857803,winter_sport
48,53073826,volleyball
49,444234900,tennis
50,735418021,tennis
51,710293600,volleyball
52,78410435,martial_arts
53,529343505,hockey
54,234810038,motosport
55,939038022,esport
56,624444012,boardgames
57,10212412,volleyball
58,249455008,boardgames
59,816073817,motosport
60,292582612,winter_sport
61,168872231,martial_arts
62,610073730,martial_arts
63,804591616,extreme
64,708450700,winter_sport
65,595692823,football
66,375824633,winter_sport
67,424194001,athletics
68,675267313,winter_sport
69,380261015,boardgames
70,713757600,esport
71,698363821,volleyball
72,163267719,football
73,28225423,winter_sport
74,302563336,autosport
75,142601735,winter_sport
76,742710000,hockey
77,10353705,extreme
78,855343237,boardgames
79,42843917,esport
80,750586033,boardgames
81,111296917,boardgames
82,746261621,boardgames
83,649301435,martial_arts
84,954498427,esport
85,891104532,martial_arts
86,27707002,basketball
87,378995810,motosport
88,591630036,basketball
89,476458720,autosport
90,994379631,tennis
91,567098537,hockey
92,282476217,esport
93,663005300,tennis
94,224117102,extreme
95,360837705,football
96,226571001,motosport
97,695496003,martial_arts
98,443224606,autosport
99,301803518,motosport
100,3914130,boardgames
101,692130106,basketball
102,415497137,boardgames
103,21334510,football
104,479057125,basketball
105,245636707,motosport
106,569162732,esport
107,191288802,extreme
108,249638431,autosport
109,697977732,volleyball
110,647248211,martial_arts
111,332820822,autosport
112,749981730,winter_sport
113,74069810,motosport
114,652140412,winter_sport
115,56456918,esport
116,184257327,motosport
117,244390012,motosport
118,429114239,extreme
119,880844709,athletics
120,169782234,autosport
121,449702027,basketball
122,379077831,boardgames
123,298814214,football
124,638216721,football
125,675028903,motosport
126,580528518,esport
127,464496500,volleyball
128,724673712,athletics
129,542970915,tennis
130,967849804,football
131,424965336,esport
132,222516037,tennis
133,74652019,football
134,758394115,boardgames
135,514263414,volleyball
136,181151513,basketball
137,901319525,extreme
138,307052612,motosport
139,327143311,winter_sport
140,991629126,winter_sport
141,730917226,hockey
142,720971414,winter_sport
143,371194832,basketball
144,96550538,martial_arts
145,963669106,esport
146,883757433,tennis
147,429095315,tennis
148,952343224,boardgames
149,154620504,athletics
150,416747616,motosport
151,953467218,winter_sport
152,582543434,autosport
153,931986732,basketball
154,867549202,boardgames
155,95038303,athletics
156,153599208,esport
157,28624709,basketball
158,199165412,basketball
159,527137328,football
160,780087912,esport
161,749981730,winter_sport
162,931986732,athletics
163,669566726,hockey
164,388651911,winter_sport
165,388468131,boardgames
166,907386212,football
167,780661336,motosport
168,859305226,football
169,656741409,extreme
170,732864905,esport
171,312888017,martial_arts
172,692638318,esport
173,577870231,hockey
174,714234514,basketball
175,817402220,extreme
176,150273323,athletics
177,661657826,autosport
178,557484721,tennis
179,229925816,esport
180,19765518,martial_arts
181,806603917,winter_sport
182,966922207,basketball
183,816892913,martial_arts
184,738676239,football
185,461441908,boardgames
186,472368600,extreme
187,27943630,football
188,910049717,athletics
189,753336639,winter_sport
190,137256429,autosport
191,488107817,winter_sport
192,432194902,martial_arts
193,276231830,esport
194,39708933,tennis
195,165244818,football
196,772243338,basketball
197,59932732,hockey
198,326063102,football
199,270775309,basketball
200,421579134,tennis
201,700486922,boardgames
202,507262500,winter_sport
203,341458225,extreme
204,423620832,motosport
205,395353112,boardgames
206,824743609,basketball
207,290484631,winter_sport
208,159768514,basketball
209,234253423,football
210,441420522,hockey
211,303452933,athletics
212,251684639,motosport
213,503664137,volleyball
214,330691025,boardgames
215,152682706,athletics
216,529343505,hockey
217,890548501,autosport
218,670060720,volleyball
219,461848124,tennis
220,392801401,esport
221,400318329,winter_sport
222,757382404,autosport
223,367128632,hockey
224,82359035,autosport
225,169650018,extreme
226,780661336,motosport
227,742321024,hockey
228,203609815,esport
229,315514611,autosport
230,484770022,winter_sport
231,272409826,winter_sport
232,189202917,winter_sport
233,954309335,autosport
234,269135832,winter_sport
235,363011237,esport
236,143686331,athletics
237,646468605,martial_arts
238,424194001,athletics
239,758557134,martial_arts
240,207891029,esport
241,96550538,martial_arts
242,380846012,athletics
243,32860111,hockey
244,694176212,extreme
245,776303527,autosport
246,825619734,extreme
247,789704301,motosport
248,45918031,athletics
249,435847516,volleyball
250,703540237,athletics
251,285269308,football
252,800426014,winter_sport
253,570225132,boardgames
254,104061007,esport
255,379707522,motosport
256,961037402,extreme
257,145846507,motosport
258,675338101,football
259,611637936,hockey
260,178373718,extreme
261,58022005,boardgames
262,493291122,autosport
263,955803014,winter_sport
264,280458608,athletics
265,203609815,esport
266,309347409,tennis
267,763019216,autosport
268,9455401,hockey
269,68737418,winter_sport
270,675267313,winter_sport
271,737880515,basketball
272,420029112,autosport
273,353081737,tennis
274,893681523,athletics
275,391106101,extreme
276,645562129,athletics
277,798959002,tennis
278,517149005,basketball
279,720194726,motosport
280,938731820,basketball
281,656339234,hockey
282,325097003,basketball
283,730917226,hockey
284,479886838,autosport
285,727066931,extreme
286,69700733,autosport
287,382790721,esport
288,535711737,football
289,429114239,football
290,939038022,motosport
291,614327734,motosport
292,765370701,motosport
293,930647729,volleyball
294,905511805,esport
295,75344628,volleyball
296,247095126,esport
297,559217017,motosport
298,621582000,basketball
299,919523134,tennis
300,735630433,extreme
301,606729828,football
302,691699936,martial_arts
