,oid,category
3,663621910,esport
4,566255305,tennis
5,332983824,volleyball
7,770457906,volleyball
8,720955404,boardgames
10,623907520,athletics
11,357676832,esport
12,463889624,boardgames
14,902512702,winter_sport
15,573984210,hockey
16,867549202,boardgames
18,517149005,basketball
19,631811222,tennis
23,731046922,athletics
24,759095431,autosport
26,568705033,hockey
27,746261621,boardgames
28,223960908,hockey
30,39021409,motosport
33,773806324,winter_sport
34,42587423,autosport
37,896686111,athletics
38,759592926,winter_sport
39,475206109,volleyball
40,123458214,winter_sport
41,733364110,autosport
43,86508807,tennis
45,150043234,motosport
46,194604309,basketball
47,142857803,winter_sport
48,53073826,volleyball
49,444234900,tennis
51,710293600,volleyball
53,529343505,hockey
56,624444012,boardgames
58,249455008,boardgames
61,168872231,martial_arts
63,804591616,extreme
68,675267313,winter_sport
74,302563336,autosport
76,742710000,hockey
77,10353705,extreme
78,855343237,boardgames
80,750586033,motosport
82,746261621,boardgames
85,891104532,martial_arts
86,27707002,basketball
91,567098537,hockey
93,663005300,tennis
95,360837705,football
97,695496003,martial_arts
99,301803518,motosport
100,3914130,boardgames
101,692130106,basketball
102,415497137,boardgames
104,479057125,basketball
105,245636707,motosport
106,569162732,esport
109,697977732,volleyball
110,647248211,martial_arts
111,332820822,autosport
112,749981730,winter_sport
113,74069810,motosport
114,652140412,winter_sport
116,184257327,motosport
117,244390012,motosport
118,429114239,extreme
119,880844709,athletics
120,169782234,autosport
122,379077831,boardgames
123,298814214,football
125,675028903,motosport
128,724673712,athletics
129,542970915,tennis
130,967849804,football
133,74652019,football
134,758394115,boardgames
135,514263414,volleyball
138,307052612,motosport
139,327143311,winter_sport
142,720971414,winter_sport
144,96550538,martial_arts
146,883757433,tennis
148,952343224,boardgames
149,154620504,athletics
152,582543434,autosport
154,867549202,boardgames
155,95038303,athletics
156,153599208,esport
157,28624709,basketball
158,199165412,basketball
159,527137328,football
161,749981730,winter_sport
163,669566726,hockey
164,388651911,winter_sport
165,388468131,boardgames
166,907386212,football
167,780661336,motosport
168,859305226,football
169,656741409,extreme
170,732864905,esport
171,312888017,martial_arts
173,577870231,hockey
175,817402220,extreme
176,150273323,athletics
177,661657826,autosport
178,557484721,tennis
179,229925816,esport
181,806603917,winter_sport
182,966922207,basketball
183,816892913,martial_arts
185,461441908,boardgames
188,910049717,athletics
190,137256429,autosport
191,488107817,winter_sport
192,432194902,martial_arts
194,39708933,tennis
195,165244818,football
196,772243338,basketball
199,270775309,basketball
200,421579134,tennis
201,700486922,boardgames
202,507262500,winter_sport
203,341458225,extreme
204,423620832,motosport
205,395353112,boardgames
206,824743609,basketball
207,290484631,winter_sport
208,159768514,basketball
213,503664137,volleyball
215,152682706,athletics
216,529343505,hockey
217,890548501,autosport
219,461848124,tennis
221,400318329,winter_sport
222,757382404,autosport
223,367128632,hockey
226,780661336,motosport
227,742321024,hockey
231,272409826,winter_sport
232,189202917,winter_sport
233,954309335,autosport
238,424194001,athletics
240,207891029,esport
241,96550538,martial_arts
243,32860111,hockey
245,776303527,autosport
246,825619734,extreme
247,789704301,motosport
